,classified_id,classified_type,classified_subtype,classified_price,classified_transactionType,classified_zip,classified_visualisationOption,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_atticExists,classified_basementExists,classified_outdoor_garden_surface,classified_outdoor_terrace_exists,classified_specificities_SME_office_exists,classified_wellnessEquipment_hasSwimmingPool,classified_parking_parkingSpaceCount_indoor,classified_parking_parkingSpaceCount_outdoor,classified_condition_isNewlyBuilt,new_price,classified_region,bedroom_count
14499,10136905,house,house,580000,forsale,1640,xl,installed,1959.0,justrenovated,gas,180.0,5.0,305.0,,,,True,,,1.0,,,0,Vlaams Brabant,5
14500,10137811,house,villa,1195000,forsale,2460,xl,hyperequipped,2014.0,justrenovated,,129.0,3.0,1517.0,,,,True,,,1.0,1.0,,0,Antwerp,3
14501,10135986,house,house,1850000,forsale,1950,xl,hyperequipped,1987.0,justrenovated,gas,148.0,5.0,1791.0,True,True,1000.0,True,,True,1.0,5.0,,0,Vlaams Brabant,5
14502,10142482,house,house,299000,forsale,4500,xl,semiequipped,2019.0,good,gas,119.0,3.0,845.0,,,700.0,True,,,,2.0,,0,Liege,3
14503,10142022,house,house,1450000,forsale,1190,xl,semiequipped,1918.0,good,gas,474.0,3.0,452.0,,,,True,,,,,,0,Brussels,3
14504,10145550,house,house,224000,forsale,6760,xl,installed,,torenovate,fueloil,344.0,5.0,543.0,,True,200.0,True,,,1.0,2.0,,0,Luxembourg,5
14505,10145813,house,house,498000,forsale,8790,xl,installed,1980.0,good,,193.0,4.0,200.0,,True,,True,,,2.0,2.0,,0,West Vlaanderen,4
14506,10145140,house,house,645000,forsale,1040,xl,installed,1903.0,good,gas,214.0,4.0,65.0,,True,,True,,,,,,0,Brussels,4
14507,10146100,house,house,745000,forsale,1410,xl,hyperequipped,1995.0,justrenovated,fueloil,196.0,4.0,1336.0,,True,1050.0,True,True,,1.0,2.0,,0,Brabant Wallonia,4
14516,10146083,house,mixedusebuilding,845000,forsale,3020,xl,semiequipped,2002.0,good,gas,264.0,4.0,923.0,,,,True,True,,4.0,5.0,,0,Vlaams Brabant,4
14517,10146082,house,villa,845000,forsale,3020,xl,semiequipped,2002.0,good,gas,264.0,4.0,923.0,,,,True,True,,4.0,5.0,,0,Vlaams Brabant,4
14518,10137397,house,house,342500,forsale,2250,xl,installed,2021.0,good,gas,,3.0,269.0,,,,True,,,1.0,,1.0,0,Antwerp,3
14519,10154127,house,house,149000,forsale,4031,xl,semiequipped,,good,gas,319.0,3.0,200.0,,True,145.0,True,True,,,,,0,Liege,3
14520,10151656,house,house,599000,forsale,4000,xl,installed,,good,gas,428.0,4.0,0.0,,True,,True,,,,,,0,Liege,4
14521,10151853,house,mansion,1049000,forsale,9930,xl,installed,,torenovate,gas,425.0,7.0,4600.0,True,True,,True,,,,6.0,,0,Oost Vlaanderen,6 to 8
14522,10151658,house,house,2100000,forsale,1150,xl,hyperequipped,1948.0,justrenovated,gas,160.0,4.0,450.0,,True,145.0,True,,True,1.0,1.0,,0,Brussels,4
14523,10072815,house,house,105000,forsale,8930,xl,semiequipped,1934.0,good,,537.0,2.0,69.0,,,,,,,,,,0,West Vlaanderen,2
14524,10092475,house,house,132000,forsale,4317,xl,notinstalled,1849.0,torenovate,,1187.0,4.0,650.0,,True,500.0,,True,,,,,0,Liege,4
14525,10118567,house,house,145000,forsale,4540,xl,notinstalled,,torenovate,,427.0,4.0,116.0,,,,True,,,1.0,,,0,Liege,4
14526,9992570,house,house,145000,forsale,4560,xl,semiequipped,,good,,813.0,2.0,125.0,,,,True,,,1.0,,,0,Liege,2
14527,9865879,house,mixedusebuilding,155000,forsale,6200,xl,semiequipped,1950.0,good,,242.0,2.0,190.0,,True,,True,,,,,,0,Hainaut,2
14528,9941077,house,house,160000,forsale,6600,xl,semiequipped,1947.0,good,fueloil,468.0,3.0,222.0,,True,,,,,,,,0,Luxembourg,3
14529,10068098,house,house,195000,forsale,4500,xl,installed,,good,gas,300.0,4.0,155.0,,True,,True,,,2.0,,,0,Liege,4
14530,9782440,house,house,200000,forsale,6600,xl,installed,1955.0,good,fueloil,451.0,2.0,90.0,,,25.0,True,,,1.0,,,0,Luxembourg,2
