id,type,subtype,price,transactionType,kitchen_type,energy_heatingType,bedroom_count,land_surface,outdoor_terrace_exists,outdoor_garden_surface,wellnessEquipment_hasSwimmingPool,condition_isNewlyBuilt,location,region,province,EPC
10163700,apartment,apartment,380000,for sale,hyper equipped,gas,2,,true,,,1,Brussel,['Brussel'],['Brussel'],[None]
10164033,house,house,700000,for sale,usa hyper equipped,gas,8,100,true,,true,,Brussel,['Brussel'],['Brussel'],[None]
10157787,apartment group,apartment group,1700000 - 1700000,for sale,,,,,,,,1,Brussel,['Brussel'],['Brussel'],[None]
10164028,house,house,749000,for sale,not installed,gas,4,220,true,150,,,Brussel,['Brussel'],['Brussel'],[None]
10164487,apartment,apartment,249000,for sale,installed,gas,1,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10164007,apartment,flat studio,215000,for sale,usa hyper equipped,gas,0,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10165247,apartment,apartment,250000,for sale,installed,gas,1,,,,,,Brussel,['Brussel'],['Brussel'],[None]
10089743,apartment,apartment,265000,for sale,semi equipped,gas,2,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10165662,apartment,apartment,289000,for sale,installed,gas,1,,true,,,,Brussel,['Brussel'],['Brussel'],[None]
10164034,apartment,apartment,285000,for sale,installed,gas,1,,,,,,Brussel,['Brussel'],['Brussel'],[None]
10164030,apartment,apartment,310000,for sale,usa hyper equipped,gas,2,,true,30,,,Brussel,['Brussel'],['Brussel'],[None]
